ID_CLB;INTITULE_COMPLET;VALEUR;ETAT;STATUT_RECRUTEMENT;DATE_DEBUT_INCLUSION;DATE_FIN_INCLUSION;DATE_DEBUT_ETUDE;DATE_FIN_ETUDE;ROLE_CLB;DETAIL_ROLE_CLB
ET22000269;FURMO-004: Etude en ouvert de phase III, randomisée, multicentrique et internationale, visant à évaluer l’efficacité et la sécurité d’emploi du furmonertinib par rapport à une chimiothérapie à base de platine comme traitement de première intention chez des patients atteints d’un cancer du poumon non à petites cellules, localement avancé ou métastatique, avec mutations par insertion dans l’exon 20 du récepteur du facteur de croissance épidermique;NCT05607550;400;Ouverte aux inclusions;2023-09-28 00:00:00.000;NULL;NULL;NULL;N;
ET22000271;BBI-20201001: Étude de phase I/II sur le BDC-1001 en monothérapie et en association avec le nivolumab chez des patients atteints de tumeurs solides avancées exprimant HER2;NCT04278144;010;En préparation;NULL;NULL;NULL;NULL;O;
ET22000276;REGO_INTER-EWING-1: Phase Ib study of the combination of regorafenib with conventional chemotherapy for the treatment of newly diagnosed patients with multimetastatic Ewing sarcoma;NCT05830084;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000287;MEDISARC-SBRT : Etude de phase I évaluant la sécurité et l'efficacité du MEDI5752 en association avec une radiothérapie stéréotaxique chez des patients atteints  de sarcome métastatique.;NCT05821231;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000291;TPX-0005-07: Étude de phase 1/2, en ouvert, sur l'innocuité, la tolérance, la pharmacocinétique et l'activité antitumorale du repotrectinib chez des enfants et de jeunes adultes adultes atteints d'une tumeur maligne avancée ou métastatique ayant des altérations ALK, ROS1 ou NTRK1-3 (CARE);NCT04094610;010;En préparation;NULL;NULL;NULL;NULL;O;
ET22000296;CFT1946-1101 : Étude de phase 1/2 multicentrique en ouvert pour caractériser la sécurité, la tolérance et l’efficacité préliminaire du CFT1946 en monothérapie et en association avec le tramétinib chez les patients atteints de tumeurs solides avec mutation BRAF-V600;NCT05668585;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000298;"BP44474 : Étude de phase I, en ouvert, visant à évaluer la sécurité d’emploi, la tolérance, la pharmacocinétique, la pharmacodynamique et l’activité antitumorale du RO7589831 chez des participants atteints de tumeurs solides avancées présentant une instabilité des microsatellites (MSI) et/ou une déficience de réparation des mésappariements (DMMR) ";NCT06004245;010;En préparation;NULL;NULL;NULL;NULL;O;
ET22000302;MAPPYACTS 2 profilage moléculaire pour stratification du traitement des enfants et jeunes porteurs d'un cancer;NCT05691608;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000310;ADP-0055-003 - SURPASS 3: ADP-A2M4CD8 Monotherapy and in Combination With Nivolumab in HLA-A2+ Subjects With MAGE-A4 Positive Ovarian Cancer(SURPASS-3)_ A Phase 2, Open-Label, Randomized, Non-Comparative Clinical Trial of ADP-A2M4CD8  Monotherapy and in Combination with Nivolumab in Subjects With Recurrent Ovarian  Cancers;NCT05601752;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000311;"AV-APL-B-002-22-NEREIDA: A Multicentre, Open label, Randomised, Controlled, Basket,  Pragmatic, Phase II, Clinical and Translational Study to Determine the Efficacy and Safety of Plitidepsin versus Control in Immunocompromised Adult Patients with Symptomatic COVID19 requiring Hospital Care (NEREIDA) ";NCT05705167;010;En préparation;NULL;NULL;NULL;NULL;O;
ET22000313;"PRadR: Etude multicentrique, mono-bras, menée en ouvert, de phase I /II évaluant le traitement par radiothérapie interne vectorisée ciblant le PSMA chez les patients adultes présentant un cancer rénal métastatique à cellules claires ";NCT06059014;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000314;IFCT-2201 ADAPTABLE - Essai de phase II randomisé, non comparatif évaluant la combinaison paclitaxel-bevacizumab ± atezolizumab chez des patients présentant un CBNPC non-épidermoïde de stade avancé en progression après immunothérapie et chimiothérapie;NCT05781308;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000317;LOGGIC/FIREFLY-2 :  Étude de phase III, randomisée, internationale, multicentrique, évaluant le DAY101 en monothérapie par rapport à la chimiothérapie standard chez des patients atteints d’un gliome de bas grade pédiatrique présentant une altération activatrice de RAF nécessitant un traitement systémique de première intention;NCT05566795;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000320;"NB003-01: Étude multicentrique de phase I, en ouvert, visant à évaluer la sécurité d’emploi, la tolérance, la pharmacocinétique et l’efficacité du NB003 chez des patients atteints de tumeurs malignes avancées ";NCT04936178;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000322;"AMGEN 20210004 (DeLLphi-304):  Étude de phase III randomisée, en ouvert, comparant le tarlatamab avec le traitement standard chez des patients atteints d’un cancer bronchique à petites cellules en rechute après une chimiothérapie à base de platine en première ligne  ";NCT05740566;010;En préparation;NULL;NULL;NULL;NULL;O;
ET22000326;RANDOMET 2017: Essai clinique de phase 3, randomisé, multicentrique, non-aveugle, comparant en non-infériorité la chimiothérapie néoadjuvante Vincristine, Actinomycine-D et Doxorubicine (VAD) versus Vincristine, Carboplatin et Etoposide (VCE) chez les patients ayant une tumeur rénale de l'enfance de stade IV;NCT03669783;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000329;"R5458-ONC-2245  LINKER-MM3: Etude de phase III, randomisée, en ouvert, portant sur le linvoseltamab (REGN5458; anticorps bispécifique anti-BCMA/anti-CD3) comparé à  l’association d’élotuzumab, de pomalidomide et de dexaméthasone (EPd) chez des patients atteints de myélome multiple récidivant/réfractaire ";NCT05730036;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;N;
ET22000333;INCA 33890-101 : A PHASE 1, OPEN-LABEL, MULTICENTER STUDY OF INCA33890 IN PARTICIPANTS WITH ADVANCED OR METASTATIC SOLID TUMORS;NCT05836324;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000334;"COBRAF : Cohorte clinico-biologique prospective de patients atteints d’un cancer colorectal métastatique BRAF V600E. ";NCT05639413;010;En préparation;NULL;NULL;NULL;NULL;O;
ET22000335;87189401PCR1001 : A Phase 1 Study of JNJ-87189401 Given Alone or in Combination with JNJ-78278343 for Advanced Prostate Cancer;NCT06095089;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000336;"ALKS 4230-007  GOG-3063/ENGOT-ov68  - ARTISTRY-7:Étude de phase 3, multicentrique, ouverte et randomisée de la nemvaleukin alfa en association avec le pembrolizumab par rapport à la chimiothérapie choisie par l’investigateur chez les patients atteints d’un cancer ovarien épithélial, des trompes de Fallope ou du péritoine primaire résistant au platine ";NCT05092360;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000002;IMCgp100-203: Étude de phase 2/3 randomisée portant sur le tébentafusp en monothérapie et en association avec le pembrolizumab comparé au traitement choisi par l’investigateur chez des participants HLA-A*02:01-positifs atteints de mélanome avancé (TEBE-AM) précédemment traité;NCT05549297;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000003;XL092-304 : Étude de phase III randomisée ouverte, portant sur le XL092 associé au nivolumab, par rapport au sunitinib administré à des patients atteints d’un carcinome rénal à cellules non claires avancé ou métastatique;NCT05678673;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000006;"GS-US-598-6168 - ASCENT 07: Étude randomisée de phase 3 en ouvert comparant le sacituzumab au traitement au choix du médecin pour des patients atteints d’un cancer du sein positif aux récepteurs hormonaux (HR+) et négatifs pour HER2 ( (récepteur 2 du facteur de croissance épidermique humain (HER2-)(HER2 IHC0 ou HER2-faible [IHC 1+, IHC 2+/ISH-]) inopérable, localement avancé ou métastatique, préalablement traité par hormonothérapie ";NCT05840211;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000007;IMGN853-0421 GLORIOSA:  Randomized, multicenter, open-label, phase 3 study of mirvetuximab soravtansine in combination with bevacizumab versus bevacizumab alone as maintenance therapy for patients with FRá-positive recurrent platinum-sensitive epithelial ovarian, fallopian tube, or primary peritoneal cancers who have not progressed after second-line platinum-based chemotherapy plus bevacizumab;NCT05445778;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000008;"NXP800-101: A Phase 1 Clinical Study of NXP800 in Subjects with Advanced Cancers and Expansion in Subjects with Ovarian Cancer ";" NCT05226507";005;Pré CREC;NULL;NULL;NULL;NULL;O;
ET23000009;WO43919 / INAVO121 : Étude de phase III, multicentrique, randomisée, en ouvert, évaluant l’efficacité et la tolérance d'inavolisib plus fulvestrant versus alpelisib plus fulvestrant chez des patients atteints d’un cancer du sein localement avancé ou métastatique, positif aux récepteurs hormonaux, HER2-négatif, avec mutation de PIK3CA, ayant progressé pendant ou après un traitement combiné par inhibiteur de CDK4/6 et endocrinothérapie;NCT05646862;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000011;INCAGN 2385-203: Etude de phase 2, randomisée, en double aveugle, multicentrique, portant sur le rétifanlimab en association avec l’INCAGN02385 (anti-LAG-3) et l’INCAGN02390 (anti-TIM-3) en tant que traitement de première intention chez des patients d’un carcinome épidermoïde de la tête et du cou en récidive/métastatique PD-L1 positif (CPS >= 1);NCT 05287113;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET23000015;DCC-2618-03-003 (INSIGHT): A Phase 3, Randomized, Multicenter, Open-label Study of Ripretinib vs Sunitinib in Patients with Advanced Gastrointestinal Stromal Tumor (GIST) with KIT Exon 11 and Co-occurring KIT Exons 17 and/or 18 Mutations who Were Previously Treated with Imatinib;NCT 05734105;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000016;21607: FIH NSCLC EGFR and/or HER2 mutation : Etude de première administration chez l’homme en ouvert portant sur le BAY2927088 chez des participants atteints d’un cancer du poumon non à petites cellules avancé présentant une mutation EGFR et/ou HER2;NCT05099172;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000017;PRT3789-01 : Etude de phase 1 en ouvert, multicentrique, visant à évaluer la sécurité d’emploi et l’efficacité du PRT3789 chez des participants atteints de tumeurs solides avancées ou métastatiques avec mutation du gène SMARCA4;" NCT05639751";400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000018;PRT2527-02 : A Phase 1 Open-Label, Multi-Center, Safety and Efficacy Study of PRT2527 as Monotherapy and in Combination with Zanubrutinib in Participants with Relapsed/Refractory Hematologic Malignancies;NCT05538572;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000020;SMX 22-002 (ELAINE 3):  Étude multicentrique, randomisée, en ouvert comparant l’efficacité et la sécurité d’emploi de l’association du lasofoxifène et de l’abémaciclib par rapport à l’association du fulvestrant de l’abémaciclib pour le traitement d’hommes et de femmes préménopausées et ménopausées, atteints d’un cancer du sein ER+/HER2- métastatique ou localement avancé et porteurs d’une mutation du gène ESR1;NCT05696626;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000021;STML-ELA-0222 : Etude parapluie de phase 1/2, en ouvert, évaluant l’innocuité et l’efficacité de l’Elacestrant dans le cadre de différentes plurithérapies chez les patients atteints de cancer du sein métastasique (ELEVATE);NCT05563220;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000023;Rainbo-RED p53abn-Red : Essai randomisé de phase III testant l'olaparib d'entretien versus l’observation après chimioradiothérapie adjuvante pour le cancer de l'endomètre p53abn;NCT05255653-2;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000024;TNG462-C101  : Étude de phase I/II en ouvert, multicentrique, visant à évaluer la sécurité d’emploi, la tolérance et l’activité anti-tumorale préliminaire du TNG462 chez des patients atteints de tumeurs solides avancées ou métastatiques avec perte de MTAP;NCT05732831;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000026;"AML-NET : A monocentric Phase I/II study to evaluate the safety (Safety run in), clinical and biological activity (Phase II) of a humanized monoclonal antibody targeting Netrin-1 (NP137) in combination with standard VIDAZA+ VENETOCLAX in patients with refractory Acute Myeloid Leukemia  ";NCT06150040;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000028;"GS-US-590-6154 - Enhance 3: A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Magrolimab versus Placebo in Combination with Venetoclax and Azacitidine in Newly Diagnosed, Previously Untreated Patients with Acute Myeloid Leukemia Who Are Ineligible for Intensive Chemotherapy ";NCT05079230;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000032;3082-CL-0101 : Etude de phase 1 sur ASP3082 chez des participants atteints de tumeurs malignes solides localement avancées ou métastatiques précédemment traitées avec mutation KRAS G12D.  (Parexel  Projet 267236);NCT05382559;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000037;87890387STM1001 : A Phase I Study of JNJ-87890387, an Ectonucleotide Pyrophosphatase/Phosphodiesterase Family Member 3 (ENPP3) x CD3 bispecific antibody for Advanced Solid Tumors;NCT06178614;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000042;"KRT-232-118 :  Étude de phase 2/3 visant à évaluer un traitement d'entretien par navtemadlin chez des patientes atteintes d'un cancer de l'endomètre avancé ou récurrent avec un statut TP53WT ayant répondu à une chimiothérapie ";NCT05797831;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000045;DESCAR-T : Dispositif d’Enregistrement et de Suivi des CAR-T;NCT04328298;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000047;I3Y-MC-JPEH: Étude de phase 2, randomisée et menée en ouvert, visant à évaluer l’abémaciclib en association avec le témozolomide, par rapport au témozolomide en monothérapie, après une radiothérapie chez des enfants et des jeunes adultes atteints d’un gliome de haut grade nouvellement diagnostiqué;NCT06413706;005;Pré CREC;NULL;NULL;NULL;NULL;O;
ET23000049;GO44537 : Etude de phase I en ouvert, multicentrique, d'escalade de dose et d'extension, visant à évaluer l'innocuité, la pharmacocinétique et l'activité du RO7656594 chez des patients atteints d'un cancer de la prostate avancé ou métastatique_expansion uniquement;NCT05800665;005;Pré CREC;NULL;NULL;NULL;NULL;O;
ET23000050;MAQ-001 : Étude de phase IA/IB destinée à étudier la sécurité, la tolérance et les caractéristiques pharmacocinétiques du MAQ-001 administré par voie intraveineuse (IV) en monothérapie et en immunothérapie combinée chez des patients atteints de tumeurs solides à un stade avancé, MQ01;NCT06514651;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000052;2138-CL-0101 : A Phase 1/1b Study of ASP2138 in Participants with Metastatic or Locally Advanced Unresectable Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma or Metastatic Pancreatic Adenocarcinoma Whose Tumors Have Claudin (CLDN) 18.2 Expression;NCT05365581;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000054;GAME-OvBLOC: GAspillage MEdicamenteux : Etude ObserVationnelle au Bloc Opératoire en France;NCT05609864;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000057;"MK2870-004 : Étude de phase III randomisée, en ouvert sur le MK-2870 vs chimiothérapie (docétaxel ou pémétrexed) en cas de cancer du poumon non à petites cellules (CBNPC) non épidermoïde avancé ou métastatique précédemment traité, avec mutations de l’EGFR ou autres altérations génomiques ";NCT06074588;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000059;DS1062-A-U304 : Essai de phase 3, randomisé, en ouvert, portant sur Dato-DXd plus pembrolizumab vs pembrolizumab seul chez des patients naïfs de traitement atteints d’un cancer du poumon non à petites cellules avancé ou métastatique ayant un taux de PD-L1 élevé (SPT >= 50 %) et ne présentant pas de modifications génomiques exploitables;NCT05215340;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000060;TAS6417-201 REZILIENT2: Étude de phase IIb, multicentrique et en ouvert, visant à évaluer la sécurité d’emploi et l’efficacité du zipalertinib chez des patients atteints d’un cancer du poumon non à petites cellules localement avancé ou métastatique avec insertions de l’exon 20 et mutations du récepteur du facteur de croissance épidermique peu communes/uniques ou composées;NCT05967689;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000070;"PM1183-C-010-22 SALUDO: Étude de phase IIb/III, randomisée, contrôlée, menée en ouvert, visant à évaluer la lurbinectédine en association avec la doxorubicine par rapport à la doxorubicine en monothérapie comme traitement de première intention chez des patients atteints d’un léiomyosarcome métastatique ";NCT06088290;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000072;Pan-MSI-ACSE : Dostarlimab en traitement de première ligne chez des patients atteints d'un cancer localement avancé ou métastatique dMMR/MSI (non colorectal/non endométrial): essai randomisé de phase 2 avec « Crossover » dans le bras standard à la progression;NCT06333314;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;N;
ET23000073;56021927PCR3020 LIBERTAS: Étude prospective de phase 3 randomisée, en ouvert, évaluant l'apalutamide en association avec une thérapie de privation androgénique (ADT) continue ou intermittente suivant la réponse du PSA chez des participants atteints d’un cancer de la prostate métastatique sensible à la castration (mCSPC).;" NCT05884398";420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000074;"CAPNEUCHIM : Patch de capsaïcine 179 mg versus duloxétine dans le traitement des neuropathies périphériques chimio-induites : une étude randomisée de phase 3 multicentrique en ouvert ";NCT05840562;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000075;BT8009-230 Duravelo-2/ BT89200: Étude de phase II/III randomisée, en ouvert, évaluant le BT8009 en monothérapie ou en association chez des participants atteints d’un carcinome urothélial localement avancé ou métastatique;NCT06225596;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000077;GORTEC 2023-01 AdCC: Essai de phase Ib portant sur l’administration d’OBT076 seul ou d’OBT076 suivi par Balstilimab chez les patients présentant un carcinome adenoide kystique (CAK) , en rechute ou métastatique, de la tête et du cou.;NCT05930951;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000078;"GO44479 IMCODE 003: Etude de phase II, en ouvert, multicentrique, randomisée visant à évaluer l'efficacité et la sécurité du traitement adjuvant par autogène cémuvéran associé à atézolizumab + mFOLFIRINOX versus mFOLFIRINOX seul chez les patients atteints d'un adénocarcinome canalaire pancréatique réséqué ";NCT05968326;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000083;VESUVIO: Carcinomes urothéliaux des voies excrétrices supérieures traitées en vie réelle par immunothérapie, étude rétrospective nationale;NCT06113367;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000093;"DO2.22.01 : A Phase 1 Study to Determine the Safety, and Pharmacokinetics of the Selective MET kinase Inhibitor, DO-2 in Patients With Advanced or Refractory Solid Tumours ";NCT05752552;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000102;"FIPO23 (XON7):Essai de phase I/II, multicentrique, en ouvert, de première administration à l’homme, comprenant une phase d’escalade de dose puis d’extension, visant à évaluer la sécurité, la pharmacocinétique et l’efficacité antitumorale de l’anticorps polyclonal glyco-humanisé XON7 chez des patients atteints de tumeurs solides avancées ou métastatiques ";NCT05732831;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000103;"AITIK : Arrêt de traitement par Inhibiteurs de TyrosIne Kinase dans la leucémie myéloïde chronique et impact sur le système immunitaire : étude comparative randomisée de deux stratégies thérapeutiques ";NCT05753384;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000105;"BGB-16673-101 : Étude de phase 1, en ouvert , d’escalade de dose et d’extension, évaluant le dégradeur de protéines ciblant la tyrosine kinase de Bruton, BGB-16673, chez des patients atteints de tumeurs malignes à lymphocytes B ";NCT05006716;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000113;"CAPSICAURA : Profils de réponse à la désensibilisation par la capsaïcine à haute  concentration chez les patients présentant une douleur neuropathique périphérique avec ou sans allodynie : cohorte prospective multicentrique régionale ";NCT05817591;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000116;MGD019-02 LORIKEET-2: Étude de phase 2, randomisée, en ouvert, portant sur le lorigerlimab en association avec le docétaxel ou sur le docétaxel administré seul chez des participants atteints d’un cancer de la prostate métastatique résistant à la castration;NCT05848011;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;N;
ET23000117;FIERCE-HN AV-299-23-301 : Etude de phase III, multicentrique, randomisée, en double aveugle contrôlée par placebo, portant sur le Ficlatuzumab en association avec le Cétuximab chez des participants atteints d’un carcinome épidermoïde de la tête et du cou récidivant ou métastatique (r/m) et négatif pour le VPH (R/M);NCT06064877;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000119;CO44657 PionERA: Étude de phase III, randomisée, en ouvert, évaluant l’efficacité et la tolérance du giredestrant comparé au fulvestrant, tous deux associés à un inhibiteur de CDK4/6, chez des patients présentant un cancer du sein avancé positif aux récepteurs aux œstrogènes, HER2-négatif et résistant à une thérapie endocrine adjuvante antérieure;NCT06065748;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000120;"CPI-0209-01 : Étude de phase 1/2 portant sur le CPI-0209 administré en monothérapie et en association à un autre traitement chez des patients atteints de tumeurs avancées. ";"NCT04104776 ";400;Ouverte aux inclusions;2023-10-03 00:00:00.000;NULL;NULL;NULL;O;
ET23000121;OnKOT&T 2.0: Etude d’efficacité sur des critères de qualité de vie d'une application numérique sur tout téléphone portable (OnKO-Tips&Tricks) permettant le suivi quotidien, la mise en place d’un programme d’ETP et un lien direct avec l’infirmière coordinatrice des unités s’occupant spécifiquement des adolescents et des jeunes adultes diagnostiqués pour un cancer;NCT05350631;400;Ouverte aux inclusions;NULL;NULL;2023-07-04 00:00:00.000;NULL;O;
ET23000122;PICCandGLUE: Essai randomisé, prospectif, monocentrique comparant l’efficacité de la pose d’un Cathéter Central Inséré en Périphérie (PICC) avec adjonction d’une colle cyanoacrylate versus la pose d’un PICC seule (sans colle) chez des patients porteurs de cancer.;NCT05944900;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000125;"DS1103-074 : Étude de phase 1, multicentrique, en deux parties (escalade de dose et expansion) de la première administration chez l’homme du DS-1103a en combinaison chez des patients atteints de tumeurs solides avancées ";NCT05765851;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000128;"KB0742-1001 : Étude de phase I, de première administration chez l’homme, en ouvert, à escalade de dose et cohortes d’extension, évaluant le KB-0742 chez des patients atteints de tumeurs solides localement avancées et/ou métastatiques ou de lymphome non hodgkinien en rechute ou réfractaire  ";NCT04718675;005;Pré CREC;NULL;NULL;NULL;NULL;O;
ET23000131;"MK-5684-004 : Étude de phase 3, randomisée, en ouvert, évaluant le MK-5684 par rapport à un traitement alternatif par acétate d'abiratérone ou par enzalutamide chez des participants atteints d'un cancer de la prostate métastatique et résistant à la castration (CPRCm) ayant progressé pendant ou après un traitement antérieur par un agent hormonal de nouvelle génération (AHNG) ";NCT06136650;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000132;"FIRST-NEC GFPC 01-2022: Essai de phase II évaluant l’efficacité et la tolérance de la combinaison durvalumab platine-étoposide en première ligne de traitement chez les patients atteints de carcinomes neuroendocrines à grandes cellules du poumon (CNEGC) ";NCT06393816;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000133;BI 1479-0008 Beamion LUNG-2:  Essai multicentrique de phase III, en ouvert, randomisé, contrôlé actif, évaluant le BI 1810631 administré par voie orale par rapport au traitement standard dans le traitement de première ligne des patients atteints d’un cancer du poumon non à petites cellules, non résécable, non squameux, localement avancé ou métastatique avec mutations du domaine de la tyrosine kinase HER2;NCT06151574;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000134;CAAA617A12402 PXL276299: A Phase IV, Post-Authorization Safety Study to Investigate the Long-Term Safety of lutetium (177Lu) vipivotide tetraxetan in Adult Participants with Prostate Cancer;NCT05803941;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000136;ePPS-2202: Essai de phase 3 de supériorité testant le bénéfice d’un support d’information dématérialisé pour les patients avec sarcomes avancés recevant un traitement de 2ème ligne;NCT06211257;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000137;"PROPHYLOXITIN : Administration intermittente de céfoxitine versus dose de charge suivie d’une administration continue pour la prévention des infections du site opératoire en chirurgie colo-rectale : une étude multicentrique, randomisée en double aveugle ";NCT05755789;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000140;"B1931036: ÉTUDE PROSPECTIVE DE PHASE 2 RANDOMISÉE, EN OUVERT, VISANT À ÉVALUER LA SUPÉRIORITÉ DE L’INOTUZUMAB OZOGAMICINE EN MONOTHÉRAPIE PAR RAPPORT À ALLR3 DANS LE TRAITEMENT D’INDUCTION DE LA LEUCÉMIE AIGUË LYMPHOBLASTIQUE DE TYPE B À RISQUE ÉLEVÉ DE PREMIÈRE RÉCIDIVE CHEZ L’ENFANT ";NCT0574817;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000141;"AK112-301 (HARMONi): Étude de phase 3 randomisée,en double aveugle et multicentrique de l’AK112 ou d’un placebo associé au pémétrexed et au carboplatine chez des patients atteints d’un cancer du poumon non à petite cellules (CPNPC) non squameux localement avancé ou métastatique mutant pour l’EGFR et n’ayant pas répondu à un traitement par EGFR-TKI ";NCT05184712;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000149;"eVOLVE-Meso D7988C00001: A Phase III, Randomized, Open-Label, Multicenter, Global Study of Volrustomig (MEDI5752) in Combination with Carboplatin plus Pemetrexed Versus Investigator’s Choice of Platinum plus Pemetrexed or Nivolumab plus Ipilimumab in Participants with Unresectable Malignant Pleural Mesothelioma ";NCT06097728;010;En préparation;NULL;NULL;NULL;NULL;O;
ET23000156;V940-004 : Etude clinique de phase II, randomisée, en double aveugle, du V940 (ARNm4157) plus pembrolizumab (MK-3475) versus placebo plus pembrolizumab en  adjuvant chez des participants atteints d’un carcinome rénal;NCT06307431;005;Pré CREC;NULL;NULL;NULL;NULL;O;
ET23000163;IMM05 - MOIO: Essai randomisé de phase III comparant l’immunothérapie (IO) standard,  par inhibiteurs des points de contrôle immunitaire, versus une diminution de la dose intensité de l’IO chez les patients ayant un cancer localement avancé ou métastatique en réponse après 6 mois d'IO  standard.;NCT05078047;400;Ouverte aux inclusions;2023-09-18 00:00:00.000;NULL;NULL;NULL;O;
ET23000168;IFCT-2202 ROSIE : Etude de cohorte prospective évaluant les facteurs moléculaires de pronostic et mécanismes de résistance à l'osimertinib dans le traitement adjuvant du carcinome pulmonaire non à petites cellules pIB-IIIA complètement réséqué avec mutation commune de l'EGFR (L858R et Del19);NCT06053099;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET23000170;ITCC-101/APAL2020D : Un essai randomisé de phase 3 portant sur l'association de la fludarabine/cytarabine/gemtuzumab ozogamicine avec ou sans venetoclax chez les enfants atteints de LAM en rechute.;NCT05183035;010;En préparation;2023-07-19 00:00:00.000;NULL;2023-07-19 00:00:00.000;NULL;O;
ET23000176;MK2870-005 / ENGOT-en23  :  Etude de phase 3 randomisée, en ouvert, multicentrique visant à comparer l'efficacité et la sécurité d'emploi du MK-2870 en monothérapie par rapport à un traitement du choix de l'investigateur chez des participantes atteintes d'un cancer de l'endomètre ayant précédemment été traitées par chimiothérapie à base de sels de platine et immunothérapie (MK-2870-005/ENGOT-en23/GOG3095)»;NCT06132958;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
